date,Crakehill,Skip Bridge,Westwick,Skelton,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme
10/05/1993,7.89,6.361,8.689,21.44,2.4,11.2,20,47.2
11/05/1993,8.66,4.979,11.126,24.91,0.8,12.8,0,1.6
12/05/1993,8.4,3.789,8.803,21.98,0,0,0,0
13/05/1993,7.95,3.442,10.275,19.51,0,27.2,76,115.2
14/05/1993,120,40.574,188.751,189.6,9.6,145.6,149.6,178.8
15/05/1993,155,39.209,72.276,277.1,3.2,0,61.6,41.6
16/05/1993,73,18.776,68.591,171.9,0.8,26.4,90.4,132
17/05/1993,107,32.623,102.646,211.8,1.6,13.6,32,57.6
18/05/1993,81.2,23.83,64.309,182.9,0.8,0.8,1.6,1.6
19/05/1993,37.8,11.137,34.209,103,0.8,0,0,0
20/05/1993,25.5,9.08,29.53,67.18,49.6,34.4,48.8,42.4
21/05/1993,42.1,13.044,44.007,92.33,0.8,0,4,2.4
22/05/1993,27.5,9.244,26.427,74.03,0,0,0,0
23/05/1993,19.6,6.626,19.746,51.53,0,0,0,0
24/05/1993,16.2,5.411,15.911,41.04,0,0,0,0
25/05/1993,14.1,4.672,13.704,34.74,0,0,0,0
26/05/1993,13,4.259,12.549,31.28,7.2,4.8,14.4,32.8
27/05/1993,12.5,4.113,12.163,29.67,2.4,0.8,10.4,2.4
28/05/1993,12.2,3.85,12.318,29.22,2.4,0,24.8,16
29/05/1993,11.5,3.792,11.922,27.6,5.6,1.6,28.8,11.2
30/05/1993,11.4,4.049,16.532,28.03,48,5.6,46,118.4
31/05/1993,57.2,9.607,110.011,123.9,15.2,0,58.4,137.6
01/06/1993,32.1,14.618,48.409,119.9,5.6,4,23.2,16
02/06/1993,17.4,8.272,28.533,60.87,3.2,0,4,8.8
03/06/1993,14.5,5.876,21.31,44.06,0,1.6,0,0
04/06/1993,12.5,4.76,15.941,35.14,0.8,0,0.8,0.8
05/06/1993,10.8,4.002,12.733,28.75,0,0,0,0
06/06/1993,9.62,3.507,10.713,24.44,0,0,0,0
07/06/1993,8.72,3.159,9.44,21.47,0,0,0,0.8
08/06/1993,8.17,2.993,8.629,19.92,0,0,0,0
09/06/1993,7.85,2.952,8.028,18.9,4,0,25.6,4.8
10/06/1993,7.7,3.038,7.799,18.55,0,4.8,22,18.4
11/06/1993,8.28,3.101,8.481,19.22,19.2,18.4,14.4,30.4
12/06/1993,8.4,3.364,9.491,20.78,0,0,0,0
13/06/1993,8.02,3.161,8.933,20.21,0,0,0,0
14/06/1993,8.85,4.274,9.177,21.15,24,32,25.6,24
15/06/1993,9.11,3.805,9.542,22.53,7.2,4.8,34.4,10.4
16/06/1993,8.26,3.192,8.291,20.07,0,0,0,0
17/06/1993,7.55,2.959,7.873,18.18,4.8,6.4,26.4,16.8
18/06/1993,7.54,3.386,11.416,18.48,17.6,2.4,19.2,48.8
19/06/1993,10.9,3.391,15.848,28.35,6.4,0.8,11.2,18
20/06/1993,8.62,2.846,12.47,24.66,0,0,0,0
21/06/1993,7.33,2.651,9.312,19.59,0,0,0,0
22/06/1993,6.66,2.544,7.689,16.59,0,2.4,0,0
23/06/1993,6.62,3.005,7.691,16.35,0.8,5.6,0,0.8
24/06/1993,6.38,2.721,6.799,15.8,0.8,0,0,0
25/06/1993,6.24,2.475,6.364,14.38,4.8,19.2,5.6,11.2
26/06/1993,6.4,2.58,5.959,14.31,0,0,28.8,8.8
27/06/1993,5.9,2.406,5.491,13.53,0,0,0,0
28/06/1993,5.6,2.326,5.181,12.83,0,0,0,0
29/06/1993,5.3,2.272,4.885,12.16,0,0,0,0
30/06/1993,5.18,2.228,4.699,11.7,0.8,0,0,2.4
01/07/1993,5.01,2.202,4.783,11.16,0,0,0,3.2
02/07/1993,5.14,2.184,5.128,11.6,0,0,20,3.2
03/07/1993,4.89,2.171,4.578,11.34,0.8,0,71.2,10.4
04/07/1993,4.79,2.181,4.503,10.95,2.4,0,18.4,18.4
05/07/1993,4.64,2.13,4.408,10.5,0,0,0,0
06/07/1993,4.57,2.094,4.471,10.2,0,0,0,0
07/07/1993,4.23,2.06,4.306,9.867,0,0,0,0
08/07/1993,4.1,2.13,4.211,9.656,28.8,0,47.2,89.6
09/07/1993,4.57,2.434,9.089,13.04,0,0,22.4,11.2
